,Name,Team,Minutes Played,PER
436,Marcus Morris,NYK,1387,16.5
437,Marcus Morris,LAC,340,7.7
438,Markieff Morris,TOT,1106,12.4
439,Markieff Morris,DET,988,12.7
440,Markieff Morris,LAL,118,9.8
441,Monte Morris,DEN,1402,14.9
442,Johnathan Motley,LAC,41,28.4
443,Emmanuel Mudiay,UTA,752,13.7
444,Mychal Mulder,GSW,204,7.8
445,Dejounte Murray,SAS,1447,17.1
446,Jamal Murray,DEN,1804,17.5
447,Džanan Musa,BRK,404,8.4
448,Mike Muscala,OKC,492,12.2
449,Sviatoslav Mykhailiuk,DET,1265,11.2
450,Abdel Nader,OKC,756,11.2
451,Larry Nance Jr.,CLE,1472,17.3
452,Shabazz Napier,TOT,1234,14.5
453,Shabazz Napier,MIN,856,13.9
454,Shabazz Napier,WAS,378,15.7
455,Raul Neto,PHI,565,11.5
456,Malik Newman,CLE,4,-11.3
457,Georges Niang,UTA,772,12.4
458,,,,
459,Nerlens Noel,OKC,1014,21.7
460,Zach Norvell,TOT,41,2.6
461,Zach Norvell,LAL,5,-5.6
462,Zach Norvell,GSW,36,3.7
463,Jaylen Nowell,MIN,151,10.5
464,Frank Ntilikina,NYK,1187,9.8
465,Kendrick Nunn,MIA,1846,13.5
466,David Nwaba,BRK,268,14.0
467,Royce O'Neale,UTA,1862,9.3
468,Kyle O'Quinn,PHI,258,18.1
469,Semi Ojeleye,BOS,891,7.6
470,Jahlil Okafor,NOP,424,17.8
471,Elie Okobo,PHO,707,10.5
472,Josh Okogie,MIN,1547,11.5
473,KZ Okpala,MIA,26,13.7
474,Victor Oladipo,IND,337,12.0
475,Kelly Olynyk,MIA,1089,14.7
476,Miye Oni,UTA,11,-9.9
477,Cedi Osman,CLE,1910,10.7
478,Kelly Oubre Jr.,PHO,1933,14.9
479,Tariq Owens,PHO,15,8.4
480,Jeremy Pargo,GSW,44,12.7
481,,,,
482,Jabari Parker,TOT,852,17.0
483,Jabari Parker,ATL,837,17.2
484,Jabari Parker,SAC,15,4.0
485,Chandler Parsons,ATL,54,5.6
486,Eric Paschall,GSW,1654,14.5
487,Anžejs Pasečņiks,WAS,405,11.6
488,Patrick Patterson,LAC,607,11.7
489,Justin Patton,OKC,24,4.7
490,Chris Paul,OKC,2003,21.7
491,Elfrid Payton,NYK,1246,16.0
492,Gary Payton II,WAS,432,11.3
493,Norvel Pelle,PHI,178,11.2
494,Theo Pinson,BRK,365,5.2
495,Mason Plumlee,DEN,900,19.1
496,Jakob Poeltl,SAS,965,19.6
497,Vincent Poirier,BOS,114,12.8
498,Shamorie Ponds,TOR,11,33.2
499,Jordan Poole,GSW,1274,7.2
500,Kevin Porter Jr.,CLE,1162,10.8
501,Michael Porter Jr.,DEN,670,18.5
502,Otto Porter,CHI,331,15.8
503,Bobby Portis,NYK,1393,14.6
504,,,,
505,Kristaps Porziņģis,DAL,1597,19.3
506,Dwight Powell,DAL,1061,16.0
