player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Markelle Fultz,1852,330,694,32,120,102,143,36,179,343,84,10,136,131,794
Wenyen Gabriel,210,20,46,6,20,14,20,18,28,8,10,6,16,35,60
Daniel Gafford,609,94,134,0,0,32,60,52,54,21,13,56,29,98,220
Danilo Gallinari,1739,340,773,171,418,241,273,33,276,115,40,4,72,69,1092
Langston Galloway,1702,236,542,132,331,73,85,33,116,101,48,11,40,96,677
Darius Garland,1824,280,699,105,296,63,72,27,84,229,42,4,151,92,728
Marc Gasol,1037,103,245,52,131,31,42,30,211,127,29,33,48,110,289
Rudy Gay,1367,242,547,65,200,107,121,59,282,103,27,30,85,91,656
Paul George,1282,310,708,147,355,171,196,22,227,166,62,20,118,106,938
Taj Gibson,1025,167,286,4,14,41,56,111,156,52,27,30,47,122,379
Harry Giles,603,126,220,0,1,38,49,37,131,51,21,14,36,103,290
Shai Gilgeous-Alexander,2285,454,960,83,233,268,334,45,346,216,73,45,122,114,1259
Rudy Gobert,2238,369,527,0,0,236,379,217,665,95,49,130,125,208,974
Brandon Goodwin,430,76,190,26,87,28,30,11,61,51,12,4,29,43,206
Aaron Gordon,1964,324,743,71,230,146,214,103,354,220,50,36,97,119,865
Eric Gordon,972,162,438,92,288,78,103,8,57,52,22,12,36,68,494
Devonte' Graham,2211,368,963,218,585,191,233,42,170,471,62,15,181,115,1145
Treveon Graham,929,87,242,33,120,36,56,51,99,45,24,6,29,102,243
Jerami Grant,1736,271,577,89,227,132,177,55,178,82,46,53,58,145,763
Jerian Grant,26,6,7,2,3,1,1,1,1,2,0,1,0,6,15
Josh Gray,23,1,2,0,0,0,0,1,1,2,0,0,5,1,2
Danny Green,1595,184,445,115,312,32,46,46,167,86,79,31,60,134,515
Draymond Green,1222,123,316,36,129,63,83,23,243,266,59,33,98,110,345
JaMychal Green,1175,131,314,79,213,32,44,75,281,45,25,21,47,155,373
Javonte Green,414,49,98,6,23,23,36,18,62,23,23,7,18,37,127
Jeff Green,796,123,278,52,150,58,74,23,92,36,23,16,36,71,356
Blake Griffin,512,88,250,27,111,76,98,17,67,59,7,7,40,27,279
Marko Guduric,476,61,154,25,81,23,25,14,57,45,12,8,36,34,170
